Date of Purchase,Date of Install,User Segment,Item-Purchased,Session Time,Level Reached,Prior Purchases,Purchase Type,Promo Applied,Price (₹)
04/02/2023,07/01/2023,Casual,Power-Up Bundle,01h 16m,30,1,One-time,No,195
16/01/2023,08/01/2023,Hardcore,Ultra Bundle,01h 13m,16,13,One-time,Yes,675
21/01/2023,20/01/2023,Hardcore,Power-Up Bundle,00h 34m,39,6,One-time,No,153
25/01/2023,31/12/2022,Casual,Season Pass,01h 40m,8,2,Subscription,No,477
31/01/2023,11/01/2023,Casual,Coin Pack - 5000,00h 28m,22,4,One-time,No,217
10/02/2023,26/01/2023,Casual,Limited-Time Offer Pack,00h 13m,21,3,One-time,No,93
14/02/2023,31/01/2023,Casual,Premium Weapon,02h 15m,23,5,One-time,No,211
11/02/2023,02/02/2023,Hardcore,Coin Pack - 1000,01h 48m,35,12,One-time,No,91
28/01/2023,07/01/2023,Casual,Coin Pack - 5000,01h 28m,14,3,One-time,No,221
29/01/2023,20/01/2023,Casual,Character Skin,02h 13m,3,3,One-time,Yes,143
22/01/2023,26/12/2022,Casual,Lifetime Membership,00h 16m,22,2,Subscription,No,823
14/02/2023,09/02/2023,Casual,Lifetime Membership,00h 26m,27,1,Subscription,No,859
10/02/2023,18/01/2023,Hardcore,Limited-Time Offer Pack,00h 21m,39,3,One-time,Yes,78
23/01/2023,17/01/2023,Hardcore,Season Pass,00h 20m,37,12,Subscription,No,508
25/01/2023,13/01/2023,Casual,Lifetime Membership,02h 10m,20,5,Subscription,No,959
01/02/2023,30/01/2023,Hardcore,Character Skin,02h 24m,18,1,One-time,Yes,194
25/01/2023,31/12/2022,Hardcore,Premium Weapon,01h 21m,19,8,One-time,No,200
05/02/2023,27/01/2023,Casual,Ultra Bundle,01h 47m,15,0,One-time,Yes,672
25/01/2023,31/12/2022,Casual,Coin Pack - 10000,02h 16m,15,3,One-time,No,470
07/02/2023,05/02/2023,Hardcore,Coin Pack - 5000,02h 56m,16,11,One-time,No,213
17/01/2023,07/01/2023,Casual,Lifetime Membership,00h 06m,31,4,Subscription,No,988
22/01/2023,06/01/2023,Casual,Lifetime Membership,01h 57m,27,2,Subscription,No,936
29/01/2023,01/01/2023,Hardcore,Limited-Time Offer Pack,02h 19m,36,15,One-time,No,88
14/02/2023,12/02/2023,Casual,Ultra Bundle,02h 08m,18,1,One-time,No,586
14/02/2023,05/02/2023,Casual,Season Pass,01h 26m,2,1,Subscription,No,598
04/02/2023,16/01/2023,Casual,Coin Pack - 10000,01h 28m,39,2,One-time,No,417
22/01/2023,13/01/2023,Casual,Coin Pack - 1000,01h 35m,23,0,One-time,No,98
13/02/2023,09/02/2023,Hardcore,Lifetime Membership,00h 58m,36,4,Subscription,No,997
30/01/2023,12/01/2023,Casual,Coin Pack - 5000,02h 25m,34,4,One-time,No,201
13/02/2023,29/01/2023,Hardcore,Limited-Time Offer Pack,02h 59m,16,8,One-time,Yes,94
15/01/2023,18/12/2022,Casual,Coin Pack - 1000,03h 00m,37,2,One-time,Yes,99
02/02/2023,20/01/2023,Hardcore,Coin Pack - 1000,01h 31m,7,7,One-time,No,87
23/01/2023,18/01/2023,Hardcore,Coin Pack - 5000,02h 14m,13,7,One-time,Yes,223
31/01/2023,23/01/2023,Casual,Coin Pack - 1000,01h 23m,7,4,One-time,Yes,87
22/01/2023,17/01/2023,Hardcore,Ultra Bundle,00h 24m,12,9,One-time,Yes,688
07/02/2023,21/01/2023,Whales,Character Skin,01h 35m,28,7,One-time,Yes,155
18/01/2023,17/01/2023,Casual,Ultra Bundle,02h 28m,39,1,One-time,No,624
31/01/2023,15/01/2023,Hardcore,Premium Weapon,00h 28m,38,12,One-time,No,263
30/01/2023,18/01/2023,Casual,Season Pass,00h 48m,37,0,Subscription,No,438
12/02/2023,14/01/2023,Hardcore,Character Skin,00h 26m,6,1,One-time,No,117
24/01/2023,28/12/2022,Casual,Ultra Bundle,01h 41m,9,3,One-time,No,572
04/02/2023,01/02/2023,Hardcore,Character Skin,00h 36m,33,0,One-time,No,137
29/01/2023,12/01/2023,Casual,Limited-Time Offer Pack,01h 03m,26,2,One-time,Yes,69
18/01/2023,30/12/2022,Whales,Limited-Time Offer Pack,01h 08m,36,8,One-time,No,76
08/02/2023,26/01/2023,Casual,Limited-Time Offer Pack,01h 36m,5,0,One-time,No,77
20/01/2023,19/01/2023,Whales,Coin Pack - 1000,01h 27m,15,6,One-time,No,92
31/01/2023,27/01/2023,Casual,Lifetime Membership,02h 55m,28,3,Subscription,No,972
07/02/2023,17/01/2023,Casual,Power-Up Bundle,02h 50m,31,4,One-time,No,213
17/01/2023,03/01/2023,Casual,Season Pass,02h 05m,39,4,Subscription,Yes,474
20/01/2023,08/01/2023,Casual,Lifetime Membership,01h 21m,32,3,Subscription,No,892
30/01/2023,04/01/2023,Hardcore,Ultra Bundle,02h 45m,4,5,One-time,No,689
15/01/2023,10/01/2023,Hardcore,Season Pass,02h 17m,4,7,Subscription,No,415
22/01/2023,18/01/2023,Casual,Limited-Time Offer Pack,01h 40m,32,2,One-time,No,59
05/02/2023,09/01/2023,Casual,Season Pass,01h 06m,11,3,Subscription,No,433
03/02/2023,23/01/2023,Casual,Ultra Bundle,02h 52m,30,4,One-time,Yes,551
06/02/2023,28/01/2023,Casual,Coin Pack - 10000,00h 40m,23,3,One-time,Yes,432
04/02/2023,08/01/2023,Casual,Character Skin,02h 47m,30,2,One-time,No,182
03/02/2023,23/01/2023,Casual,Character Skin,02h 13m,27,1,One-time,No,187
29/01/2023,31/12/2022,Casual,Premium Weapon,01h 43m,10,3,One-time,Yes,205
24/01/2023,04/01/2023,Hardcore,Premium Weapon,01h 07m,11,4,One-time,No,221
22/01/2023,04/01/2023,Casual,Coin Pack - 1000,02h 21m,19,5,One-time,No,89
16/01/2023,31/12/2022,Hardcore,Power-Up Bundle,00h 47m,34,8,One-time,No,248
18/01/2023,25/12/2022,Hardcore,Limited-Time Offer Pack,01h 52m,4,15,One-time,No,50
16/01/2023,29/12/2022,Casual,Season Pass,01h 21m,6,2,Subscription,No,557
26/01/2023,25/01/2023,Hardcore,Ultra Bundle,00h 20m,33,10,One-time,No,523
17/01/2023,28/12/2022,Whales,Coin Pack - 1000,00h 19m,12,5,One-time,No,86
07/02/2023,16/01/2023,Hardcore,Coin Pack - 10000,00h 25m,12,2,One-time,No,424
22/01/2023,21/01/2023,Casual,Coin Pack - 5000,02h 59m,24,4,One-time,No,232
14/02/2023,17/01/2023,Hardcore,Power-Up Bundle,02h 04m,28,7,One-time,No,214
23/01/2023,17/01/2023,Casual,Character Skin,02h 25m,4,3,One-time,Yes,120
09/02/2023,20/01/2023,Hardcore,Limited-Time Offer Pack,00h 45m,12,1,One-time,No,98
27/01/2023,10/01/2023,Casual,Character Skin,02h 17m,1,1,One-time,No,163
18/01/2023,21/12/2022,Casual,Season Pass,01h 54m,36,5,Subscription,No,583
19/01/2023,28/12/2022,Casual,Power-Up Bundle,02h 20m,3,0,One-time,Yes,241
08/02/2023,22/01/2023,Whales,Coin Pack - 10000,02h 59m,29,0,One-time,Yes,411
27/01/2023,23/01/2023,Hardcore,Coin Pack - 5000,02h 33m,10,6,One-time,No,248
10/02/2023,23/01/2023,Casual,Coin Pack - 1000,01h 19m,31,5,One-time,No,99
21/01/2023,17/01/2023,Hardcore,Power-Up Bundle,01h 24m,23,9,One-time,No,205
01/02/2023,02/01/2023,Hardcore,Premium Weapon,00h 36m,24,3,One-time,Yes,226
12/02/2023,21/01/2023,Hardcore,Ultra Bundle,02h 10m,26,4,One-time,No,525
06/02/2023,10/01/2023,Casual,Season Pass,01h 17m,25,2,Subscription,No,452
30/01/2023,23/01/2023,Casual,Limited-Time Offer Pack,01h 57m,34,1,One-time,No,54
21/01/2023,04/01/2023,Casual,Season Pass,03h 00m,2,1,Subscription,No,447
26/01/2023,07/01/2023,Hardcore,Premium Weapon,00h 57m,25,14,One-time,No,222
21/01/2023,05/01/2023,Casual,Ultra Bundle,02h 15m,11,2,One-time,No,629
11/02/2023,14/01/2023,Casual,Character Skin,02h 52m,8,3,One-time,Yes,176
08/02/2023,30/01/2023,Hardcore,Coin Pack - 10000,01h 10m,35,10,One-time,Yes,385
05/02/2023,30/01/2023,Hardcore,Coin Pack - 5000,00h 12m,29,11,One-time,No,211
24/01/2023,31/12/2022,Casual,Season Pass,00h 58m,39,3,Subscription,Yes,399
23/01/2023,11/01/2023,Casual,Limited-Time Offer Pack,01h 53m,38,0,One-time,No,85
11/02/2023,21/01/2023,Whales,Character Skin,02h 56m,5,8,One-time,No,139
10/02/2023,29/01/2023,Casual,Coin Pack - 1000,01h 44m,27,1,One-time,No,83
16/01/2023,08/01/2023,Hardcore,Lifetime Membership,02h 35m,14,14,Subscription,No,871
28/01/2023,19/01/2023,Casual,Character Skin,02h 19m,20,2,One-time,No,125
04/02/2023,17/01/2023,Casual,Character Skin,00h 24m,15,2,One-time,No,166
11/02/2023,30/01/2023,Hardcore,Coin Pack - 5000,02h 57m,38,8,One-time,No,244
14/02/2023,04/02/2023,Hardcore,Coin Pack - 1000,02h 08m,17,5,One-time,Yes,99
31/01/2023,04/01/2023,Casual,Season Pass,01h 08m,22,1,Subscription,No,430
08/02/2023,17/01/2023,Whales,Lifetime Membership,02h 39m,4,1,Subscription,Yes,882
14/02/2023,03/02/2023,Casual,Character Skin,01h 18m,6,5,One-time,No,124
31/01/2023,15/01/2023,Casual,Power-Up Bundle,01h 32m,5,3,One-time,Yes,181
27/01/2023,22/01/2023,Hardcore,Premium Weapon,01h 39m,40,1,One-time,No,288
08/02/2023,26/01/2023,Casual,Coin Pack - 5000,02h 51m,13,2,One-time,Yes,238
08/02/2023,23/01/2023,Casual,Character Skin,00h 15m,34,2,One-time,Yes,152
29/01/2023,27/01/2023,Hardcore,Coin Pack - 10000,02h 49m,28,2,One-time,No,406
07/02/2023,29/01/2023,Casual,Coin Pack - 1000,01h 33m,30,1,One-time,No,99
30/01/2023,03/01/2023,Hardcore,Coin Pack - 10000,00h 40m,12,15,One-time,Yes,386
08/02/2023,20/01/2023,Hardcore,Season Pass,01h 14m,25,13,Subscription,No,560
31/01/2023,15/01/2023,Casual,Limited-Time Offer Pack,00h 58m,8,0,One-time,No,85
30/01/2023,06/01/2023,Whales,Coin Pack - 10000,02h 34m,34,2,One-time,No,488
25/01/2023,13/01/2023,Whales,Coin Pack - 1000,01h 26m,19,2,One-time,No,97
18/01/2023,16/01/2023,Casual,Character Skin,01h 52m,1,5,One-time,No,137
04/02/2023,24/01/2023,Hardcore,Premium Weapon,00h 45m,28,7,One-time,No,209
16/01/2023,10/01/2023,Casual,Premium Weapon,01h 55m,4,2,One-time,Yes,268
28/01/2023,29/12/2022,Hardcore,Coin Pack - 10000,00h 35m,7,8,One-time,No,398
28/01/2023,27/01/2023,Casual,Coin Pack - 5000,02h 54m,22,0,One-time,No,206
29/01/2023,06/01/2023,Casual,Power-Up Bundle,02h 15m,14,2,One-time,No,176
03/02/2023,25/01/2023,Hardcore,Premium Weapon,00h 53m,5,1,One-time,No,262
26/01/2023,13/01/2023,Casual,Ultra Bundle,00h 11m,6,2,One-time,No,627
15/01/2023,06/01/2023,Hardcore,Lifetime Membership,01h 38m,26,14,Subscription,No,971
31/01/2023,01/01/2023,Whales,Season Pass,01h 06m,15,7,Subscription,No,476
13/02/2023,11/02/2023,Whales,Coin Pack - 1000,01h 02m,29,0,One-time,No,89
28/01/2023,02/01/2023,Casual,Coin Pack - 1000,00h 19m,28,4,One-time,Yes,93
15/01/2023,28/12/2022,Hardcore,Coin Pack - 10000,01h 20m,4,8,One-time,No,450
02/02/2023,14/01/2023,Casual,Coin Pack - 5000,01h 05m,37,2,One-time,No,242
05/02/2023,12/01/2023,Hardcore,Premium Weapon,01h 25m,6,0,One-time,Yes,220
30/01/2023,25/01/2023,Casual,Season Pass,00h 19m,8,5,Subscription,Yes,482
28/01/2023,19/01/2023,Casual,Limited-Time Offer Pack,00h 18m,36,5,One-time,Yes,86
16/01/2023,14/01/2023,Casual,Ultra Bundle,02h 58m,17,5,One-time,No,613
22/01/2023,14/01/2023,Casual,Premium Weapon,01h 05m,27,3,One-time,No,276
12/02/2023,30/01/2023,Casual,Coin Pack - 10000,02h 54m,16,0,One-time,Yes,467
18/01/2023,02/01/2023,Hardcore,Lifetime Membership,00h 25m,14,15,Subscription,No,937
20/01/2023,05/01/2023,Casual,Limited-Time Offer Pack,00h 31m,38,0,One-time,No,60
01/02/2023,29/01/2023,Casual,Limited-Time Offer Pack,02h 09m,1,3,One-time,No,63
21/01/2023,30/12/2022,Hardcore,Coin Pack - 1000,00h 24m,1,2,One-time,Yes,85
30/01/2023,14/01/2023,Casual,Lifetime Membership,02h 58m,2,0,Subscription,Yes,971
24/01/2023,30/12/2022,Casual,Coin Pack - 5000,02h 05m,26,3,One-time,No,216
16/01/2023,08/01/2023,Casual,Limited-Time Offer Pack,02h 20m,24,1,One-time,No,85
11/02/2023,14/01/2023,Casual,Power-Up Bundle,02h 36m,10,3,One-time,No,248
20/01/2023,22/12/2022,Casual,Season Pass,02h 02m,15,4,Subscription,No,457
28/01/2023,03/01/2023,Casual,Season Pass,01h 02m,40,5,Subscription,Yes,471
04/02/2023,13/01/2023,Hardcore,Coin Pack - 1000,00h 16m,32,15,One-time,No,97
11/02/2023,09/02/2023,Whales,Premium Weapon,00h 17m,39,2,One-time,No,277
10/02/2023,02/02/2023,Casual,Coin Pack - 5000,01h 41m,32,5,One-time,No,218
27/01/2023,11/01/2023,Casual,Character Skin,01h 43m,27,1,One-time,No,124
14/02/2023,17/01/2023,Hardcore,Character Skin,00h 22m,17,10,One-time,Yes,107
17/01/2023,31/12/2022,Hardcore,Lifetime Membership,00h 51m,9,1,Subscription,No,933
08/02/2023,29/01/2023,Whales,Character Skin,00h 55m,25,5,One-time,Yes,158
07/02/2023,03/02/2023,Casual,Coin Pack - 1000,01h 28m,11,3,One-time,Yes,99
13/02/2023,10/02/2023,Casual,Power-Up Bundle,02h 18m,32,0,One-time,No,154
28/01/2023,30/12/2022,Hardcore,Coin Pack - 1000,02h 13m,31,11,One-time,No,80
15/01/2023,13/01/2023,Casual,Ultra Bundle,01h 28m,8,2,One-time,No,659
01/02/2023,24/01/2023,Casual,Coin Pack - 10000,00h 54m,22,5,One-time,No,452
16/01/2023,27/12/2022,Casual,Season Pass,01h 17m,18,4,Subscription,Yes,446
01/02/2023,06/01/2023,Casual,Coin Pack - 10000,00h 28m,14,1,One-time,No,401
12/02/2023,19/01/2023,Hardcore,Character Skin,00h 35m,27,3,One-time,No,158
22/01/2023,19/01/2023,Hardcore,Limited-Time Offer Pack,02h 12m,7,14,One-time,No,78
30/01/2023,26/01/2023,Casual,Character Skin,01h 52m,27,5,One-time,No,126
09/02/2023,17/01/2023,Casual,Power-Up Bundle,02h 54m,15,3,One-time,No,215
29/01/2023,27/01/2023,Whales,Premium Weapon,02h 17m,14,6,One-time,Yes,295
30/01/2023,12/01/2023,Casual,Season Pass,01h 46m,33,3,Subscription,Yes,578
10/02/2023,18/01/2023,Whales,Coin Pack - 1000,00h 25m,40,8,One-time,No,92
31/01/2023,11/01/2023,Casual,Premium Weapon,02h 19m,27,0,One-time,Yes,210
08/02/2023,29/01/2023,Casual,Ultra Bundle,00h 34m,2,0,One-time,No,670
09/02/2023,22/01/2023,Hardcore,Lifetime Membership,00h 44m,21,9,Subscription,No,811
15/01/2023,06/01/2023,Hardcore,Premium Weapon,02h 32m,12,8,One-time,Yes,288
17/01/2023,02/01/2023,Casual,Power-Up Bundle,01h 02m,19,0,One-time,No,203
08/02/2023,23/01/2023,Casual,Coin Pack - 10000,02h 51m,7,0,One-time,No,459
17/01/2023,09/01/2023,Hardcore,Lifetime Membership,00h 26m,17,9,Subscription,No,987
24/01/2023,21/01/2023,Casual,Character Skin,02h 20m,34,5,One-time,Yes,129
07/02/2023,13/01/2023,Casual,Power-Up Bundle,00h 39m,9,3,One-time,No,184
31/01/2023,16/01/2023,Casual,Power-Up Bundle,01h 28m,25,5,One-time,Yes,208
03/02/2023,21/01/2023,Casual,Ultra Bundle,00h 48m,13,1,One-time,No,647
12/02/2023,01/02/2023,Casual,Coin Pack - 10000,00h 37m,27,0,One-time,No,442
20/01/2023,24/12/2022,Casual,Character Skin,00h 11m,16,0,One-time,No,148
03/02/2023,13/01/2023,Hardcore,Coin Pack - 5000,01h 23m,20,13,One-time,No,246
10/02/2023,06/02/2023,Hardcore,Character Skin,01h 21m,40,10,One-time,No,138
09/02/2023,24/01/2023,Hardcore,Coin Pack - 5000,00h 26m,3,0,One-time,No,243
28/01/2023,27/01/2023,Casual,Coin Pack - 1000,02h 01m,39,3,One-time,No,95
26/01/2023,11/01/2023,Casual,Limited-Time Offer Pack,02h 00m,10,3,One-time,No,54
16/01/2023,12/01/2023,Hardcore,Lifetime Membership,00h 07m,2,7,Subscription,No,934
16/01/2023,14/01/2023,Hardcore,Character Skin,02h 37m,26,2,One-time,No,113
30/01/2023,05/01/2023,Casual,Ultra Bundle,02h 34m,26,0,One-time,No,615
31/01/2023,06/01/2023,Casual,Coin Pack - 10000,01h 07m,40,5,One-time,No,449
30/01/2023,14/01/2023,Casual,Season Pass,02h 45m,1,5,Subscription,Yes,401
17/01/2023,05/01/2023,Hardcore,Limited-Time Offer Pack,01h 51m,7,14,One-time,No,93
25/01/2023,10/01/2023,Casual,Coin Pack - 1000,01h 57m,16,3,One-time,Yes,82
24/01/2023,12/01/2023,Casual,Premium Weapon,02h 38m,23,3,One-time,Yes,215
13/02/2023,18/01/2023,Whales,Premium Weapon,02h 10m,13,4,One-time,No,233
28/01/2023,15/01/2023,Hardcore,Coin Pack - 1000,02h 13m,8,7,One-time,Yes,98
29/01/2023,16/01/2023,Hardcore,Ultra Bundle,00h 19m,21,0,One-time,No,630
29/01/2023,06/01/2023,Casual,Coin Pack - 1000,00h 26m,8,1,One-time,No,85
02/02/2023,14/01/2023,Casual,Premium Weapon,01h 23m,33,3,One-time,Yes,297
06/02/2023,22/01/2023,Hardcore,Coin Pack - 1000,01h 36m,14,0,One-time,No,94
18/01/2023,23/12/2022,Hardcore,Lifetime Membership,02h 26m,39,12,Subscription,Yes,876
11/02/2023,23/01/2023,Casual,Season Pass,00h 14m,15,5,Subscription,Yes,437
20/01/2023,28/12/2022,Casual,Premium Weapon,01h 46m,28,4,One-time,No,254
02/02/2023,28/01/2023,Casual,Character Skin,02h 16m,7,3,One-time,No,112
29/01/2023,23/01/2023,Hardcore,Lifetime Membership,02h 20m,37,12,Subscription,Yes,880
06/02/2023,01/02/2023,Casual,Limited-Time Offer Pack,01h 43m,15,0,One-time,No,86
10/02/2023,12/01/2023,Casual,Character Skin,00h 56m,11,5,One-time,No,185
08/02/2023,06/02/2023,Hardcore,Limited-Time Offer Pack,02h 23m,25,12,One-time,Yes,52
31/01/2023,21/01/2023,Hardcore,Lifetime Membership,01h 29m,31,0,Subscription,No,827
13/02/2023,30/01/2023,Casual,Coin Pack - 1000,02h 42m,3,3,One-time,No,91
29/01/2023,28/01/2023,Casual,Season Pass,00h 40m,34,3,Subscription,No,494
13/02/2023,17/01/2023,Casual,Power-Up Bundle,02h 48m,26,0,One-time,No,168
23/01/2023,25/12/2022,Casual,Season Pass,01h 17m,3,0,Subscription,No,414
11/02/2023,16/01/2023,Casual,Lifetime Membership,02h 46m,16,1,Subscription,Yes,940
02/02/2023,16/01/2023,Hardcore,Power-Up Bundle,00h 54m,33,7,One-time,No,169
24/01/2023,06/01/2023,Casual,Lifetime Membership,02h 44m,37,3,Subscription,Yes,888
18/01/2023,10/01/2023,Casual,Lifetime Membership,01h 19m,33,0,Subscription,No,926
11/02/2023,17/01/2023,Whales,Coin Pack - 5000,02h 09m,1,6,One-time,No,206
22/01/2023,12/01/2023,Casual,Coin Pack - 5000,00h 32m,28,2,One-time,No,244
04/02/2023,10/01/2023,Hardcore,Season Pass,02h 49m,19,10,Subscription,No,478
09/02/2023,11/01/2023,Whales,Season Pass,00h 14m,4,2,Subscription,No,569
27/01/2023,26/01/2023,Casual,Limited-Time Offer Pack,01h 32m,32,5,One-time,No,73
15/01/2023,06/01/2023,Hardcore,Coin Pack - 10000,02h 13m,15,4,One-time,Yes,388
25/01/2023,05/01/2023,Casual,Premium Weapon,01h 04m,11,1,One-time,No,255
12/02/2023,09/02/2023,Casual,Ultra Bundle,00h 17m,36,4,One-time,Yes,613
16/01/2023,08/01/2023,Casual,Ultra Bundle,01h 44m,8,0,One-time,No,565
23/01/2023,14/01/2023,Casual,Coin Pack - 10000,00h 44m,30,0,One-time,No,457
17/01/2023,04/01/2023,Casual,Limited-Time Offer Pack,01h 38m,12,5,One-time,No,58
21/01/2023,14/01/2023,Casual,Premium Weapon,01h 16m,18,0,One-time,No,277
28/01/2023,27/01/2023,Hardcore,Power-Up Bundle,01h 03m,6,11,One-time,No,177
29/01/2023,06/01/2023,Casual,Power-Up Bundle,01h 36m,36,1,One-time,No,153
16/01/2023,26/12/2022,Hardcore,Limited-Time Offer Pack,01h 23m,33,10,One-time,Yes,77
25/01/2023,14/01/2023,Hardcore,Season Pass,01h 45m,26,1,Subscription,No,583
10/02/2023,25/01/2023,Casual,Coin Pack - 10000,01h 57m,40,4,One-time,No,373
07/02/2023,14/01/2023,Hardcore,Ultra Bundle,00h 08m,27,4,One-time,Yes,685
07/02/2023,18/01/2023,Casual,Limited-Time Offer Pack,03h 00m,22,1,One-time,No,85
06/02/2023,31/01/2023,Hardcore,Coin Pack - 1000,02h 52m,31,11,One-time,No,90
09/02/2023,22/01/2023,Casual,Lifetime Membership,00h 08m,3,0,Subscription,No,998
17/01/2023,06/01/2023,Hardcore,Ultra Bundle,01h 38m,28,1,One-time,No,636
07/02/2023,02/02/2023,Casual,Power-Up Bundle,02h 36m,6,4,One-time,Yes,199
01/02/2023,22/01/2023,Casual,Coin Pack - 10000,01h 03m,21,2,One-time,Yes,492
19/01/2023,09/01/2023,Casual,Coin Pack - 10000,00h 16m,15,0,One-time,No,419
20/01/2023,10/01/2023,Casual,Ultra Bundle,01h 57m,29,0,One-time,No,528
22/01/2023,11/01/2023,Casual,Character Skin,01h 37m,27,1,One-time,No,190
15/01/2023,29/12/2022,Casual,Premium Weapon,00h 10m,14,0,One-time,No,247
29/01/2023,11/01/2023,Hardcore,Lifetime Membership,01h 17m,27,14,Subscription,No,943
15/01/2023,18/12/2022,Casual,Power-Up Bundle,01h 10m,32,2,One-time,Yes,198
07/02/2023,24/01/2023,Hardcore,Premium Weapon,02h 23m,28,15,One-time,No,223
27/01/2023,20/01/2023,Casual,Limited-Time Offer Pack,00h 41m,33,1,One-time,No,61
13/02/2023,09/02/2023,Hardcore,Limited-Time Offer Pack,01h 39m,36,1,One-time,Yes,51
31/01/2023,22/01/2023,Hardcore,Coin Pack - 5000,00h 44m,22,10,One-time,Yes,241
02/02/2023,30/01/2023,Casual,Season Pass,01h 47m,13,5,Subscription,No,534
13/02/2023,30/01/2023,Casual,Coin Pack - 5000,01h 28m,5,1,One-time,Yes,242
04/02/2023,25/01/2023,Hardcore,Lifetime Membership,00h 05m,1,6,Subscription,Yes,826
03/02/2023,15/01/2023,Casual,Coin Pack - 10000,01h 08m,17,2,One-time,No,424
15/01/2023,21/12/2022,Casual,Coin Pack - 1000,00h 35m,23,1,One-time,No,87
25/01/2023,16/01/2023,Casual,Coin Pack - 1000,00h 33m,36,1,One-time,No,96
13/02/2023,22/01/2023,Hardcore,Limited-Time Offer Pack,02h 25m,35,8,One-time,Yes,54
01/02/2023,05/01/2023,Hardcore,Ultra Bundle,02h 57m,39,13,One-time,Yes,575
08/02/2023,19/01/2023,Hardcore,Limited-Time Offer Pack,00h 56m,35,15,One-time,Yes,82
26/01/2023,04/01/2023,Hardcore,Power-Up Bundle,00h 29m,24,9,One-time,Yes,237
19/01/2023,03/01/2023,Whales,Power-Up Bundle,02h 50m,7,6,One-time,No,247
18/01/2023,01/01/2023,Hardcore,Coin Pack - 5000,01h 00m,25,13,One-time,Yes,207
28/01/2023,23/01/2023,Hardcore,Coin Pack - 1000,02h 00m,28,2,One-time,Yes,84
13/02/2023,21/01/2023,Hardcore,Coin Pack - 10000,02h 48m,24,8,One-time,No,467
09/02/2023,04/02/2023,Hardcore,Season Pass,02h 51m,31,12,Subscription,Yes,523
19/01/2023,21/12/2022,Hardcore,Ultra Bundle,01h 50m,5,8,One-time,Yes,534
24/01/2023,29/12/2022,Casual,Coin Pack - 1000,00h 27m,39,0,One-time,Yes,93
03/02/2023,12/01/2023,Casual,Ultra Bundle,02h 11m,8,5,One-time,No,659
23/01/2023,01/01/2023,Casual,Coin Pack - 5000,00h 57m,25,4,One-time,No,219
11/02/2023,13/01/2023,Hardcore,Coin Pack - 5000,00h 28m,34,13,One-time,No,200
08/02/2023,11/01/2023,Whales,Coin Pack - 10000,01h 28m,25,7,One-time,No,383
22/01/2023,06/01/2023,Casual,Coin Pack - 5000,00h 20m,18,1,One-time,Yes,226
23/01/2023,27/12/2022,Hardcore,Ultra Bundle,02h 13m,7,7,One-time,No,641
28/01/2023,17/01/2023,Casual,Power-Up Bundle,01h 33m,12,1,One-time,No,167
21/01/2023,29/12/2022,Whales,Limited-Time Offer Pack,01h 36m,28,3,One-time,Yes,83
10/02/2023,04/02/2023,Casual,Character Skin,00h 59m,2,4,One-time,Yes,110
06/02/2023,26/01/2023,Casual,Season Pass,02h 50m,32,2,Subscription,Yes,501
18/01/2023,01/01/2023,Hardcore,Power-Up Bundle,01h 20m,6,15,One-time,Yes,246
30/01/2023,05/01/2023,Casual,Coin Pack - 5000,01h 29m,26,4,One-time,Yes,235
21/01/2023,01/01/2023,Hardcore,Season Pass,00h 37m,17,9,Subscription,Yes,578
28/01/2023,23/01/2023,Hardcore,Power-Up Bundle,02h 40m,26,9,One-time,No,172
11/02/2023,02/02/2023,Hardcore,Ultra Bundle,00h 21m,34,0,One-time,No,597
15/01/2023,03/01/2023,Casual,Premium Weapon,00h 22m,12,1,One-time,No,283
02/02/2023,12/01/2023,Casual,Ultra Bundle,02h 41m,39,4,One-time,Yes,682
30/01/2023,12/01/2023,Casual,Coin Pack - 10000,01h 08m,37,0,One-time,No,425
21/01/2023,12/01/2023,Hardcore,Coin Pack - 1000,00h 27m,31,13,One-time,No,79
07/02/2023,25/01/2023,Casual,Coin Pack - 10000,01h 43m,29,4,One-time,Yes,485
16/01/2023,26/12/2022,Hardcore,Power-Up Bundle,02h 46m,38,2,One-time,Yes,236
01/02/2023,21/01/2023,Casual,Coin Pack - 10000,00h 46m,37,1,One-time,No,482
13/02/2023,31/01/2023,Casual,Coin Pack - 1000,01h 25m,13,3,One-time,No,96
31/01/2023,11/01/2023,Casual,Coin Pack - 10000,02h 21m,3,4,One-time,No,440
18/01/2023,26/12/2022,Hardcore,Limited-Time Offer Pack,01h 40m,11,13,One-time,No,86
11/02/2023,13/01/2023,Casual,Coin Pack - 1000,02h 34m,39,1,One-time,No,79
12/02/2023,19/01/2023,Casual,Coin Pack - 5000,01h 09m,1,4,One-time,No,208
12/02/2023,04/02/2023,Casual,Coin Pack - 1000,00h 26m,39,3,One-time,No,87
12/02/2023,16/01/2023,Casual,Coin Pack - 1000,02h 26m,12,5,One-time,No,88
05/02/2023,10/01/2023,Whales,Season Pass,02h 22m,10,15,Subscription,Yes,492
27/01/2023,01/01/2023,Hardcore,Coin Pack - 5000,02h 21m,40,15,One-time,Yes,226
27/01/2023,19/01/2023,Hardcore,Premium Weapon,00h 48m,28,7,One-time,No,275
10/02/2023,07/02/2023,Casual,Premium Weapon,01h 40m,13,0,One-time,No,232
10/02/2023,03/02/2023,Casual,Premium Weapon,02h 22m,1,0,One-time,Yes,214
